DATE,AQI,CO,NO,NO2,O3,SO2,PM_5,PM10,NH3
1609502400,5,620.84,0.37,24.33,92.98,9.54,76.17,91.37,1.74
1609506000,5,660.9,0.01,26.73,84.4,9.66,73.88,87.54,2.44
1609509600,5,660.9,0,25.71,81.54,10.01,78.86,92.96,3.33
1609513200,5,654.22,0,23.65,82.25,10.13,88.78,105.51,3.77
1609516800,5,620.84,0,19.54,85.83,9.3,96.18,116.14,3.48
1609520400,5,580.79,0,16.28,86.55,7.99,94.98,116.97,2.88
1609524000,5,527.38,0,13.88,84.4,6.5,84.21,104.76,2.19
1609527600,5,467.3,0,10.28,84.4,5.25,67.58,84.51,1.68
1609531200,5,407.22,0,6.43,86.55,4.11,51.49,64.63,1.41
1609534800,4,370.5,0,4.54,88.69,3.7,38.41,48.51,1.25
1609538400,4,350.48,0,3.73,90.84,3.64,31.98,40.57,1.16
1609542000,4,340.46,0,3.9,89.41,3.82,31.25,39.56,1.27
1609545600,4,347.14,0,5.1,85.12,4.23,34.8,43.88,1.44
1609549200,4,380.52,0,8.57,79.39,4.83,39.13,49.27,1.68
1609552800,4,460.63,0.06,15.59,69.38,5.66,42.76,54.06,2.03
1609556400,4,507.36,1.09,18.85,62.94,6.5,42.83,54.51,2.5
1609560000,4,447.27,2.24,13.37,65.09,6.68,35.23,45.03,2.72
1609563600,4,390.53,2.15,9,70.1,6.68,26.85,34.55,2.66
1609567200,3,350.48,1.5,6.17,80.11,6.14,24.17,31,2.47
1609570800,2,313.76,0.6,3.81,77.96,3.99,15.65,20.01,1.52
1609574400,2,320.44,0.5,3.94,74.39,3.52,12.75,16.25,1.33
1609578000,2,320.44,0.38,4.41,72.24,3.37,12.25,15.6,1.36
1609581600,2,330.45,0.23,5.91,69.38,3.82,12.62,15.6,1.52
1609585200,2,350.48,0.26,8.48,66.52,4.35,14.49,16.92,1.77
1609588800,2,383.85,0.16,11.65,61.51,4.53,16.78,18.66,1.9
1609592400,3,413.9,0.01,13.54,57.22,4.77,21.18,22.87,2.03
1609596000,4,433.92,0,13.88,55.79,5.01,28.79,30.64,2.15
1609599600,4,433.92,0,12.51,56.51,5.01,35.17,37.24,1.96
1609603200,4,433.92,0,10.97,58.65,4.89,39.75,42.09,1.77
1609606800,4,447.27,0,10.03,62.23,4.89,46.24,48.73,1.62
1609610400,5,460.63,0,9,67.95,4.53,54.23,56.55,1.41
1609614000,5,447.27,0,7.37,71.53,4.17,58.68,60.74,1.27
1609617600,5,433.92,0,5.66,72.24,3.87,58.14,60.07,1.31
1609621200,5,417.23,0,4.58,72.96,3.58,52.07,53.84,1.35
1609624800,4,400.54,0,4.07,74.39,3.49,43,44.71,1.35
1609628400,4,387.19,0,3.98,73.67,3.7,35.47,37.33,1.33
1609632000,4,377.18,0,4.41,72.24,3.93,28.49,30.39,1.33
1609635600,3,387.19,0,6.34,67.95,4.23,23.56,25.56,1.39
1609639200,3,440.6,0.04,11.48,60.08,5.07,21.41,23.9,1.65
1609642800,3,500.68,1.09,15.25,53.64,6.2,20.63,23.78,1.96
1609646400,2,453.95,1.96,11.82,58.65,6.26,17.2,20.35,2.03
1609650000,2,390.53,1.5,8.48,67.23,5.9,17.19,20.74,2.28
1609653600,2,363.83,1.03,6.43,75.82,5.48,19.28,23.55,2.41
1609657200,2,303.75,0.55,4.37,76.53,4.05,12.5,15.39,1.58
1609660800,2,293.73,0.47,4.41,75.1,3.73,10.16,12.27,1.35
1609664400,2,300.41,0.4,4.8,73.67,3.73,10.53,12.59,1.41
1609668000,2,320.44,0.43,6,71.53,4.23,10.72,12.74,1.54
1609671600,2,357.15,0.61,8.31,68.67,4.83,11.15,13.13,1.76
1609675200,2,400.54,0.46,12,63.66,5.07,12.93,15.02,1.95
1609678800,2,453.95,0.03,16.11,55.79,5.6,17.28,19.7,2.19
1609682400,3,487.33,0,16.97,50.78,5.9,23.2,25.94,2.12
1609686000,4,487.33,0,16.11,49.35,5.9,25.6,28.35,1.84
1609689600,4,467.3,0,13.71,50.07,5.48,26.49,29.25,1.76
1609693200,4,447.27,0,12.17,50.07,5.07,27.5,30.76,1.81
1609696800,4,427.25,0,11.14,49.35,4.65,29.75,33.49,1.71
1609700400,4,400.54,0,9.25,50.07,4.35,30.84,34.66,1.62
1609704000,4,380.52,0,7.54,50.78,4.95,30.23,33.81,1.58
1609707600,4,360.49,0,5.91,52.93,4.89,28.7,32.51,1.54
1609711200,4,343.8,0,5.27,55.08,5.07,27.69,31.84,1.47
1609714800,4,337.12,0,5.01,56.51,5.19,26.82,31.05,1.46
1609718400,3,340.46,0,5.44,56.51,5.25,24.71,28.49,1.41
1609722000,3,367.17,0,7.71,55.08,5.36,21.65,25.03,1.52
1609725600,3,440.6,0.04,13.37,49.35,6.26,20.25,23.44,1.71
1609729200,2,500.68,0.94,15.77,47.92,7.03,19.39,22.32,1.81
1609732800,2,447.27,1.63,12.17,56.51,6.56,16.94,19.76,1.84
1609736400,2,413.9,1.5,10.45,60.8,6.8,15.82,18.68,2.01
1609740000,2,390.53,1.13,9.17,62.23,7.15,14.24,16.96,2.09
1609743600,2,363.83,0.95,7.45,65.09,6.5,10.8,12.95,1.82
1609747200,1,360.49,0.75,7.8,64.37,6.2,9.26,11.28,1.79
1609750800,1,357.15,0.57,8.23,62.94,6.08,9.62,11.96,1.92
