DATE,AQI,CO,NO,NO2,O3,SO2,PM_5,PM10,NH3
1609502400,5,3524.78,21.23,98.71,3.62,67.71,378.55,509.01,46.1
1609506000,5,4058.84,39.34,91.85,0,79.16,433.98,596.11,66.88
1609509600,5,4325.87,42.02,83.63,0,70.57,484.46,674.53,70.93
1609513200,5,4592.9,38.45,85,0.01,50.55,517.7,709.63,51.68
1609516800,5,3685,4.08,97.33,7.06,36.24,423.92,550.65,27.11
1609520400,5,3257.75,0.26,82.25,16.81,30.04,373.35,477.72,21.28
1609524000,5,2803.8,0.03,65.8,27.18,24.56,331.82,415.7,15.45
1609527600,5,2323.15,0,51.41,39.34,20.03,294.21,349.21,9.63
1609531200,5,1949.31,0,38.73,48.64,15.5,268.49,305.32,6.33
1609534800,5,1695.63,0,30.16,55.08,12.28,249.52,277.5,5.07
1609538400,5,1535.42,0,25.71,57.94,10.25,232.87,256.19,4.62
1609542000,5,1441.96,0,23.65,58.65,9.54,217.11,237.17,4.31
1609545600,5,1348.5,0,22.28,59.37,10.01,202.35,220.31,4.05
1609549200,5,1295.09,0,22.96,60.08,11.56,193.15,214.37,4.94
1609552800,5,1415.25,0,29.13,55.79,15.26,202.31,234.95,7.09
1609556400,5,1562.12,0.11,35.99,51.5,18.84,219.22,263.05,9.25
1609560000,5,1735.69,1.03,39.07,52.21,23.84,239.4,291.17,12.41
1609563600,5,1842.5,2.82,37.7,57.22,28.13,257.45,314.34,15.96
1609567200,5,1815.8,3.8,34.62,69.38,33.38,268.72,323.29,15.83
1609570800,5,1361.85,3.19,38.04,104.43,71.53,234.42,262.28,7.41
1609574400,5,1428.6,2.99,47.98,104.43,95.37,262.56,285.75,5.95
1609578000,5,1455.31,1.93,53.47,103,106.81,289.04,309.17,5.7
1609581600,5,1455.31,1.29,51.41,97.28,94.41,299.11,318.51,6.65
1609585200,5,1535.42,0.79,47.98,88.69,69.62,307.89,331.48,8.87
1609588800,5,1548.77,0.13,42.84,80.11,47.68,305.97,333.29,10.01
1609592400,5,1455.31,0,34.96,77.96,32.42,289.88,320.73,10.64
1609596000,5,1495.36,0,35.64,72.24,29.09,279.46,314.52,11.65
1609599600,5,1668.93,0,39.76,59.37,30.52,285.93,325.2,11.65
1609603200,5,1762.39,0,41.81,45.78,30.52,294.98,335.17,9.5
1609606800,5,1789.09,0.01,42.5,35.41,28.61,301.18,341.82,6.78
1609610400,5,1735.69,0.01,42.84,28.61,26.23,303.02,340.39,4.62
1609614000,5,1602.17,0.02,42.16,23.6,23.6,296.78,326.46,3.1
1609617600,5,1455.31,0.03,38.04,21.82,21.22,286.51,309.9,2.5
1609621200,5,1295.09,0.02,32.56,22.17,18.84,273.05,292.24,2.15
1609624800,5,1148.22,0.02,27.42,24.68,19.31,251.27,267.42,1.81
1609628400,5,1054.76,0.01,24.33,27.9,20.5,228.73,242.44,1.74
1609632000,5,988.01,0.01,22.96,31.47,20.27,206.07,218.61,1.96
1609635600,5,974.66,0.01,22.96,36.84,19.55,184.9,198.61,2.6
1609639200,5,1081.47,0.01,26.73,39.34,21.7,174.98,193.68,3.74
1609642800,5,1161.58,0.24,30.85,42.56,25.51,167.09,187.64,4.12
1609646400,5,1148.22,1.65,30.5,49.35,29.56,152.87,171.31,4.5
1609650000,5,1121.52,2.74,29.13,53.64,31.95,144.04,161.54,5.64
1609653600,5,1028.06,2.68,29.13,62.94,39.1,133.56,147.92,6.27
1609657200,5,807.76,2.96,32.22,77.96,58.17,105.34,115.75,5.57
1609660800,5,687.6,3.63,32.9,86.55,65.8,85.57,93.99,5.51
1609664400,5,634.19,3.3,30.5,92.98,62.94,76.97,83.94,5.83
1609668000,5,647.54,2.21,31.19,91.55,57.22,72.01,78.85,6.59
1609671600,5,754.36,0.82,36.33,79.39,51.5,75.26,84.03,8.23
1609675200,5,854.49,0.06,41.13,66.52,47.68,76.29,86.79,8.99
1609678800,5,894.55,0,41.81,57.94,43.39,73.67,87.2,9.25
1609682400,5,894.55,0,38.04,54.36,39.1,69.04,84.9,8.74
1609686000,5,867.84,0,33.93,54.36,36.72,65.29,82.08,7.28
1609689600,5,821.11,0,30.5,56.51,35.29,61.99,78.08,5.76
1609693200,5,787.74,0,28.79,57.22,35.29,59.73,74.89,5.13
1609696800,5,741.01,0,28.45,56.51,35.29,56.85,69.45,4.37
1609700400,5,720.98,0,28.79,53.64,33.85,56.69,66.84,3.71
1609704000,5,781.06,0,30.85,46.49,33.38,62.07,72.58,4.05
1609707600,5,827.79,0,31.87,41.49,33.38,68,79.32,4.24
1609711200,5,881.2,0,32.56,36.84,31.95,73.49,85.15,4.02
1609714800,5,947.95,0.01,32.22,30.76,28.37,78.49,91.55,4.02
1609718400,5,1001.36,0.03,32.22,24.68,25.51,82.44,97.83,4.31
1609722000,5,1081.47,0.14,31.87,18.77,22.89,86.44,106.48,5.07
1609725600,5,1241.68,0.68,34.62,11.44,23.13,95.3,125.12,6.4
1609729200,5,1348.5,2.01,35.3,7.78,22.65,100.27,136.6,6.71
1609732800,5,1375.2,4.75,30.5,12.52,23.6,100.85,136.72,6.52
1609736400,5,1361.85,6.87,26.05,21.1,25.75,100.14,134.14,6.46
1609740000,5,1308.44,7.26,23.99,32.54,28.61,97.71,126.59,6.33
1609743600,5,1041.41,4.53,27.42,63.66,44.35,77.91,95.6,4.88
1609747200,5,1014.71,3.97,36.67,61.51,60.56,72.62,89.62,5.95
1609750800,5,961.3,2.29,48.67,54.36,77.25,67.36,83.67,7.79
1609754400,5,1228.33,2.6,60.32,35.41,68.67,77.69,102.62,11.53
1609758000,5,1869.2,6.87,73.34,7.42,50.55,108.81,152.14,14.06
1609761600,5,2376.56,19.89,69.92,0.28,41.96,134.67,191.5,12.92
1609765200,5,2296.45,20.56,58.95,0.06,34.81,136.89,203.96,12.41
1609768800,5,2082.82,12.63,50.72,0.37,29.33,132.33,206.85,11.78
1609772400,5,1895.9,6.2,47.3,1.54,25.27,127.86,204.23,10.64
1609776000,5,1735.69,2.63,42.84,3.84,21.22,119.2,189.98,9.25
1609779600,5,1602.17,1.52,38.04,5.63,17.41,107.87,172.14,7.66
1609783200,5,1375.2,0.65,32.56,9.39,12.64,88.11,137.93,5.57
1609786800,5,1134.87,0.12,26.05,16.81,9.42,69.93,105.79,4.24
1609790400,5,1014.71,0.02,21.94,25.03,8.7,62.27,90.92,3.99
1609794000,5,974.66,0.01,20.05,31.83,8.7,59.96,83.71,4.05
1609797600,5,934.6,0,19.36,36.84,9.3,56.99,77.25,3.96
1609801200,5,934.6,0.01,20.39,32.9,10.49,56.69,76.72,3.96
1609804800,5,1014.71,0.04,23.65,23.6,13.23,61.78,83.67,4.24
1609808400,5,1188.28,0.52,29.13,12.34,17.41,72.71,100.42,5.51
1609812000,5,1602.17,6.04,37.7,1.72,26.23,97.12,139.97,8.74
1609815600,5,2216.34,23.92,42.16,0.2,41.01,133.63,192.31,12.67
1609819200,5,2777.1,43.36,48.67,0.96,61.99,167.72,229.19,15.58
1609822800,5,3070.83,54.99,52.09,1.15,78.2,183.59,242.27,16.21
1609826400,5,2803.8,50.52,55.52,1.35,90.6,168.25,215.29,15.07
1609830000,5,2082.82,34.87,67.86,4.78,122.07,139.55,167.73,11.78
1609833600,5,1682.28,27.05,69.92,13.41,131.61,124.88,147.94,10.01
1609837200,5,1321.79,16.54,61.01,25.39,115.4,106.43,126.93,8.04
1609840800,5,1054.76,5.92,42.16,40.41,67.71,92.2,111.53,7.22
1609844400,5,1014.71,1.75,32.9,47.21,36.72,91.05,111.32,7.79
1609848000,5,1054.76,0.24,34.62,43.99,29.56,97.08,118.27,7.92
1609851600,5,1121.52,0,34.27,43.99,26.46,111.34,135.1,7.47
1609855200,5,1321.79,0,35.3,42.56,25.99,139.95,170.23,7.47
1609858800,5,1602.17,0,39.07,39.7,30.99,174.65,210.97,7.92
1609862400,5,1869.2,0,45.24,35.76,36.72,204.92,244.04,8.61
1609866000,5,1895.9,0,44.55,36.12,35.29,214.02,251.28,7.92
