DATE,AQI,CO,NO,NO2,O3,SO2,PM_5,PM10,NH3
1609502400,5,1401.9,0.12,32.56,237.47,47.68,331.81,374.18,3.67
1609506000,5,1361.85,0.01,39.07,160.22,41.96,283.16,322.85,5.32
1609509600,5,1668.93,0,56.21,105.86,45.3,280.09,328.52,12.03
1609513200,5,2189.64,0,74.71,70.1,55.79,304.67,367.76,20.77
1609516800,5,3044.13,0.01,104.19,36.12,75.34,361.08,441.67,30.91
1609520400,5,3898.62,0.31,130.24,14.48,92.51,424.16,514.93,36.99
1609524000,5,4272.46,0.82,134.35,8.58,98.23,453.4,543.19,34.45
1609527600,5,4432.68,2.93,130.24,3.93,91.55,464.58,552.56,29.13
1609531200,5,4379.27,7.26,120.64,0.31,77.25,460.5,548.54,23.56
1609534800,5,3952.03,7.71,102.82,0.21,62.94,429.25,510.75,18.75
1609538400,5,3337.86,5.76,86.37,0.56,53.88,385.03,457.19,15.96
1609542000,5,2750.4,3.58,72.66,0.93,49.11,344.96,406.39,14.57
1609545600,5,2403.26,2.74,63.75,1.43,49.11,320.03,371.22,13.81
1609549200,5,1949.31,0.28,56.89,12.16,55.31,293.07,329.73,11.27
1609552800,5,2029.42,1.01,64.43,8.58,68.67,299.13,334.32,14.82
1609556400,5,2136.23,4.41,74.03,5.99,80.11,309.89,346.43,16.47
1609560000,5,2056.12,7.82,80.2,20.74,98.23,314.14,348.85,14.31
1609563600,5,2162.93,12.41,87.05,36.48,109.67,333,371.6,15.96
1609567200,5,2109.53,12.63,89.11,58.65,110.63,344.23,387.29,15.96
1609570800,5,1735.69,8.27,74.03,90.84,89.65,326.86,371.29,10.89
1609574400,5,1388.55,3.97,52.09,118.73,61.04,291.51,336.39,6.4
1609578000,5,1228.33,2.07,40.44,130.18,47.21,272.17,315.76,4.24
1609581600,5,1121.52,1.2,30.85,135.9,39.1,261.59,300.81,2.34
1609585200,5,1094.82,0.88,28.45,135.9,37.19,252.26,286.33,1.73
1609588800,5,1001.36,0.38,29.82,127.32,34.33,218.29,248.01,2
1609592400,5,934.6,0.02,30.16,118.73,30.99,185.4,212.84,2.85
1609596000,5,947.95,0,29.13,110.15,30.52,170.12,197.94,4.81
1609599600,5,934.6,0,27.08,107.29,30.99,160.64,188.78,5.95
1609603200,5,1014.71,0,29.47,101.57,34.33,163.23,192.84,8.23
1609606800,5,1188.28,0,34.27,92.98,36.72,173.16,206.91,11.91
1609610400,5,1228.33,0,35.3,86.55,36.24,174.99,209.51,12.79
1609614000,5,1094.82,0,33.24,82.97,32.9,166.79,197.47,10.26
1609617600,5,1041.41,0,32.56,76.53,33.85,166.56,193.39,8.87
1609621200,5,1108.17,0,33.93,67.95,37.67,174.01,199.35,9.25
1609624800,5,1148.22,0,34.27,60.8,40.05,178.22,202.78,9.63
1609628400,5,1108.17,0,32.56,57.22,40.53,177.01,200.13,9.12
1609632000,5,1054.76,0,32.22,56.51,42.44,176.5,197.71,8.23
1609635600,5,1068.12,0,34.96,55.08,49.11,182.2,202.21,7.41
1609639200,5,1308.44,0,46.61,42.92,61.99,206.27,229.54,10.64
1609642800,5,1682.28,1.47,66.49,27.18,81.06,239.47,267.65,15.2
1609646400,5,1949.31,9.84,74.03,28.61,105.86,271.05,302.22,16.97
1609650000,5,2029.42,16.09,76.08,43.99,123.98,293.93,326.91,16.72
1609653600,5,1895.9,14.19,73.34,72.24,127.79,305.02,338.9,14.31
1609657200,5,1468.66,7.82,53.47,115.87,93.46,273.47,305.72,8.74
1609660800,5,1081.47,3.55,32.9,160.22,61.99,226.82,256.3,5.13
1609664400,5,894.55,2.1,25.36,188.83,50.55,197.04,225.06,4.02
1609668000,5,787.74,1.44,22.28,200.27,44.82,173.85,201.02,3.04
1609671600,5,734.33,0.89,21.42,188.83,40.53,156.33,182.29,2.41
1609675200,5,694.28,0.31,21.08,173.09,34.81,139.88,164.07,2.47
1609678800,5,694.28,0.02,20.74,151.63,30.04,126.12,149.14,3.17
1609682400,5,734.33,0,21.25,134.47,28.37,121.43,145.27,4.31
1609686000,5,787.74,0,21.94,127.32,29.8,122.26,147.45,5.64
1609689600,5,947.95,0,27.42,117.3,35.76,132.91,161.09,8.87
1609693200,5,1228.33,0,37.01,101.57,45.3,151.24,183.67,13.81
1609696800,5,1468.66,0,45.93,86.55,57.7,169.35,203.4,16.97
1609700400,5,1642.23,0,53.47,71.53,65.8,185.38,220.14,17.48
1609704000,5,1842.5,0,59.63,55.08,68.67,200.45,238.19,19.76
1609707600,5,1949.31,0,61.69,42.92,74.39,212.53,252.85,22.04
1609711200,5,2029.42,0,61.69,33.98,78.2,218.68,258.01,22.29
1609714800,5,2002.72,0,60.32,30.76,81.06,221.2,256.29,19.76
1609718400,5,1815.8,0,61.01,30.4,88.69,218.3,247.34,14.82
1609722000,5,1602.17,0,67.17,30.76,99.18,219.98,245.41,10.77
1609725600,5,1949.31,0.22,89.11,18.24,118.26,255.28,285.2,16.47
1609729200,5,2536.77,8.72,115.16,6.17,154.5,307.44,344.58,25.59
1609732800,5,2670.29,21.01,123.38,20.56,194.55,334.83,372.96,24.83
1609736400,5,2723.69,27.94,132.98,42.2,225.07,365.76,406.43,23.56
1609740000,5,2670.29,27.27,138.46,71.53,234.6,391.06,434.85,21.28
1609743600,5,2002.72,16.32,109.67,117.3,175.48,358.14,400.75,11.78
1609747200,5,1335.14,7.71,68.55,157.36,109.67,290.38,327.62,5.51
1609750800,5,1041.41,3.8,43.87,183.11,76.29,242.28,275.77,3.74
1609754400,5,907.9,1.79,29.13,200.27,55.31,212.96,244.33,3.14
1609758000,5,921.25,0.87,25.71,205.99,47.68,208.51,238.95,3.04
1609761600,5,974.66,0.28,29.13,194.55,48.16,214.97,244.05,2.63
1609765200,5,1041.41,0.01,31.87,175.95,47.68,220.28,248.88,3.14
1609768800,5,1081.47,0,30.85,155.93,43.39,219.31,249.17,5.07
1609772400,5,1108.17,0,29.82,141.62,42.44,211.84,243.64,6.97
1609776000,5,1148.22,0,31.53,134.47,47.68,212.82,245.19,7.92
1609779600,5,1161.58,0,32.22,130.18,52.45,212.97,245.28,8.36
1609783200,5,1108.17,0,30.5,131.61,52.93,207.34,237.68,7.03
1609786800,5,961.3,0,27.42,135.9,51.5,194.64,218.97,4.43
1609790400,5,921.25,0,28.79,134.47,56.74,194.01,213.63,3.42
1609794000,5,974.66,0,33.59,128.75,70.57,201.64,219.02,3.36
1609797600,5,1068.12,0,38.04,118.73,86.78,213.39,230.45,3.39
1609801200,5,1174.93,0,43.87,104.43,103.95,228.28,246.41,3.39
1609804800,5,1308.44,0,54.84,86.55,123.98,247.69,266.46,2.82
1609808400,5,1482.01,0,70.6,65.8,139.24,269.24,288.78,2.88
1609812000,5,1762.39,0,90.48,48.64,152.59,298.87,321.64,5.76
